pdb_id,resolution,B-factor
487D,7.5,37.0393310810811
4A0K,5.93,324.19320454545345
4A0L,7.4,249.6939543378994
4A0O,10.5,35.043554764729556
4A0V,10.7,17.866912928760133
4A0W,13.9,21.16664933135263
7A0G,6.979,0.5
8A0Y,3.5,222.8404336043373
4A13,11.3,20.208767209011665
5A1U,13.0,4.206129172084956
5A1V,21.0,8.979854060415864
5A1W,18.0,11.766660552061492
5A1X,23.0,14.542039422565807
5A1Y,21.0,13.518559658427597
4A2I,16.5,70.81498986058332
5A20,7.6,33.64192194712577
5A21,7.2,31.24685138539066
5A2T,5.6,236.0275000000016
4A3V,3.8,223.3015848007414
5A31,4.3,211.5748929509976
5A3F,3.7,217.63540266666683
5A42,16.0,50.0
4A5Q,17.0,19.333311326860937
5A5B,9.5,1.4386600628930803
5A5U,9.0,15.861093491906182
4A6J,7.2,35.91359001040608
5A63,3.4,332.022226764785
5A6E,4.5,553.432679738561
5A6F,4.2,296.9551114922815
5A6G,5.2,284.1922460658086
4A7F,7.7,26.419245268076487
4A7H,7.8,26.413254137958337
4A7L,8.1,26.356547081650575
5A7X,17.0,56.25412768031249
4A82,9.0,98.57984429065777
5A8F,10.6,32.07005005005005
5A8H,23.0,56.25412768031213
5A9K,19.0,77.16892798353919
5A9X,3.8,239.08282374100708
5A9Y,4.0,289.7556998813761
5A9Z,4.7,215.44074655417754
5AA0,5.0,215.11386671889628
8AAJ,3.7,232.71018348623815
4ABO,8.6,40.06524375294666
5ABB,8.0,70.17178343949058
4AC5,8.2,15.557837606837609
4ADF,4.4,210.62571898734103
4ADV,13.5,70.0789968010238
5AFQ,7.0,300.0
5AFR,5.0,201.13746421267942
5AFU,8.2,62.01799346710221
